,weeks,song_name,artist_name,url_avg,et_url_avg,display_url_avg,hashtag_avg,et_hashtag_avg,avg_followers,avg_friends,avg_listed,sum_trunc,sum_http,avg_tokens,avg_char,avg_senti,avg_emoji_count,tweets_count
0,4.0,Better,BTS,0.02461322081575246,0.01969057665260197,0.02461322081575246,1.7257383966244726,0.011954992967651195,730.8340365682138,763.0857946554149,6.272855133614628,30,43,19.904360056258792,133.4071729957806,0.5915721438903068,0.08579465541490858,1422
1,10.0,pov,,0.23772609819121446,0.025839793281653745,0.23772609819121446,0.14125753660637383,0.09560723514211886,2709.5684754521963,1116.2454780361757,16.747631352282514,104,475,17.531438415159347,101.77777777777777,0.12826899166518146,0.3970714900947459,1161
2,1.0,,Luke Combs,0.07945205479452055,0.00821917808219178,0.07945205479452055,0.043835616438356165,0.056164383561643834,1855.8602739726027,469.2958904109589,6.457534246575342,28,196,15.016438356164384,85.07260273972602,0.10968027451675232,0.13424657534246576,730
3,1.0,Savage,,0.17957446808510638,0.03659574468085106,0.17957446808510638,0.28425531914893615,0.16085106382978723,17695.986382978725,2549.9582978723406,30.294468085106384,105,593,19.29531914893617,120.00936170212766,0.1738211898426426,0.7625531914893617,1175
4,1.0,,Fleetwood Mac,0.15,0.0275,0.15,0.064375,0.033125,1636.5675,1087.708125,20.186875,99,811,14.21375,91.53125,0.2731726208841428,0.1725,1600
5,1.0,Exile,,0.1962025316455696,0.022151898734177215,0.1962025316455696,0.189873417721519,0.08227848101265822,1872.139240506329,1283.5411392405063,24.623417721518987,39,107,17.139240506329113,108.2879746835443,0.16998132968784158,0.21835443037974683,316
6,8.0,Golden,Harry Styles,0.10595744680851064,0.00723404255319149,0.10595744680851064,0.2302127659574468,0.02127659574468085,2628.943829787234,847.0417021276596,17.76340425531915,47,968,18.555744680851063,109.17404255319148,0.1943776551163458,0.32170212765957445,2350
7,8.0,Wonder,,0.23105892778023926,0.04652193176783341,0.23105892778023926,0.4034116083296411,0.1630482941958352,8022.698493575543,1515.720868409393,41.48737261852016,805,1491,19.515064244572443,116.82343819229065,0.35769599149111736,0.6005759858218874,4514
8,8.0,Midnight Sky,,0.08,0.0,0.08,0.12,0.0,2977.96,1167.36,10.872,6,28,22.544,129.04,0.3438208015561104,0.336,125
9,8.0,Shut Up,,0.11151736745886655,0.0,0.11151736745886655,0.05301645338208409,0.038391224862888484,1107.707495429616,759.3473491773309,15.23583180987203,42,138,17.03107861060329,91.85374771480804,0.13917458805356045,0.21755027422303475,547
10,0.0,Thick,,0.1444043321299639,0.021660649819494584,0.1444043321299639,0.5379061371841155,0.07220216606498195,44199.516245487364,1282.4657039711192,123.40072202166066,15,66,16.685920577617328,105.6028880866426,0.3206851995593804,0.9855595667870036,277
11,5.0,,H.E.R.,0.5016393442622951,0.02622950819672131,0.5016393442622951,0.22131147540983606,0.05081967213114754,2148.116393442623,1169.8311475409837,8.332786885245902,22,417,18.214754098360658,97.85081967213115,0.32682213179889275,0.5901639344262295,610
12,10.0,One Beer,,0.3,0.0,0.3,0.2,0.0,299.7,614.5,8.1,2,5,18.4,115.4,0.1473800003528595,0.4,10
13,13.0,,Tory Lanez,0.2802547770700637,0.08917197452229299,0.2802547770700637,0.2070063694267516,0.1592356687898089,6998.8152866242035,2222.0,27.646496815286625,40,148,15.97452229299363,90.67834394904459,0.12697324971223523,0.33121019108280253,314
14,13.0,,Don Toliver,0.1601423487544484,0.02491103202846975,0.1601423487544484,0.1387900355871886,0.099644128113879,1491.0391459074733,797.8932384341637,6.779359430604982,11,107,12.352313167259787,72.65124555160142,0.015690747237502467,0.24555160142348753,281
15,11.0,Wonder,Shawn Mendes,0.23943661971830985,0.014084507042253521,0.23943661971830985,0.5070422535211268,0.0,2851.9859154929577,2031.9718309859154,13.71830985915493,1,49,19.845070422535212,124.01408450704226,0.29952535353286164,0.2676056338028169,71
16,8.0,Watermelon Sugar,Harry Styles,0.2127659574468085,0.06382978723404255,0.2127659574468085,0.14893617021276595,0.0,2484.7021276595747,1056.212765957447,31.46808510638298,6,23,21.4468085106383,129.3404255319149,0.3486723408420035,0.5957446808510638,47
17,0.0,Smile,BLACKPINK,0.0625,0.020833333333333332,0.0625,2.5,0.10416666666666667,194548.16666666666,521.75,407.5625,3,3,22.270833333333332,137.75,0.6407895660959184,0.041666666666666664,48
18,3.0,Cool Again,,0.6363636363636364,0.18181818181818182,0.6363636363636364,1.0,0.6363636363636364,6869.0,2054.090909090909,71.18181818181819,2,8,18.90909090909091,110.9090909090909,0.6942454562945799,0.0,11
19,13.0,,Joel Corry X MNEK,1.0,0.5,1.0,0.8333333333333334,0.3333333333333333,7991.166666666667,98.0,96.83333333333333,2,4,16.166666666666668,101.33333333333333,0.6796000003814697,2.1666666666666665,6
20,5.0,Toosie Slide,Drake,0.5714285714285714,0.2857142857142857,0.5714285714285714,0.5714285714285714,0.0,1114.2857142857142,382.85714285714283,7.285714285714286,2,3,14.428571428571429,85.57142857142857,0.11739999800920486,0.14285714285714285,7
21,13.0,Thriller,Michael Jackson,0.031007751937984496,0.007751937984496124,0.031007751937984496,0.3953488372093023,0.015503875968992248,2591.2558139534885,1251.4418604651162,17.24031007751938,2,12,21.06201550387597,138.27131782945736,0.4338782992820407,0.007751937984496124,129
22,0.0,Mood,Michael Jackson,0.0,0.0,0.0,0.0,0.0,1746.1666666666667,852.0,58.5,0,0,22.333333333333332,120.83333333333333,0.5323499888181686,0.0,6
23,2.0,Without You,BTS,0.25,0.0,0.25,0.25,0.0,937.5,587.25,13.5,1,2,20.0,109.25,0.0768749937415123,0.0,4
24,0.0,ily,CJ,0.7959183673469388,0.24489795918367346,0.7959183673469388,0.5102040816326531,0.32653061224489793,2408.285714285714,2161.6326530612246,38.12244897959184,18,46,20.53061224489796,129.85714285714286,0.3740101997949639,0.20408163265306123,49
25,6.0,Better,Shawn Mendes,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.0,560.6666666666666,696.6,7.4,1,2,23.066666666666666,132.86666666666667,0.81727334856987,4.133333333333334,15
26,11.0,WAP,BLACKPINK,0.09090909090909091,0.0,0.09090909090909091,1.0909090909090908,0.45454545454545453,361.6363636363636,325.3636363636364,0.9090909090909091,1,2,16.818181818181817,100.72727272727273,0.433281809091568,0.0,11
27,5.0,Tragic,CJ,1.0,0.0,1.0,0.0,0.0,129.5,213.0,0.0,2,2,26.0,140.0,0.4596500024199486,0.0,2
28,7.0,ily,Michael Jackson,0.0,0.0,0.0,0.0,0.0,4182.333333333333,2208.6666666666665,14.333333333333334,0,0,20.333333333333332,132.0,0.06846666832764943,0.0,3
29,4.0,21,Billie Eilish,0.0,0.0,0.0,0.0,0.0,50538.0,41551.875,41.0,0,0,22.625,140.0,0.01835000072605908,0.0,8
30,6.0,Popstar,DJ Khaled Featuring Drake,1.0,0.0,1.0,1.0,7.0,3511.0,3215.0,61.0,1,1,18.0,132.0,0.0,0.0,1
31,4.0,Diamonds,Sam Smith,1.0,0.08,1.0,0.32,0.72,2094.88,1986.56,51.76,3,24,15.64,94.56,0.11772799909114838,0.12,25
32,10.0,Weeeeee,,0.11538461538461539,0.0,0.11538461538461539,0.0,0.0,1085.076923076923,988.3076923076923,12.538461538461538,1,5,15.76923076923077,91.07692307692308,0.19497691839933395,0.19230769230769232,26
33,5.0,Years Go By,,0.25,0.0,0.25,0.0,0.0,40484.4375,1970.75,101.25,3,4,17.1875,92.5,0.06921875197440386,0.1875,16
34,9.0,Slidin,,0.18181818181818182,0.0,0.18181818181818182,0.3181818181818182,0.045454545454545456,3117.590909090909,2314.7272727272725,2.0,3,5,21.318181818181817,118.86363636363636,0.27562727508219803,1.1363636363636365,22
35,8.0,Tap In,Saweetie,1.0,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1369.888888888889,1517.888888888889,10.777777777777779,3,8,20.77777777777778,120.66666666666667,0.012311112549569871,0.0,9
36,7.0,24,Drake,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.5454545454545454,1.1818181818181819,3140.090909090909,997.3636363636364,13.272727272727273,2,2,24.636363636363637,142.0,0.25802726501768286,0.45454545454545453,11
37,7.0,Mood,Drake,0.0,0.0,0.0,0.0,0.0,2149.2,1751.8,2.2,0,0,19.4,103.2,0.3171000123023987,0.0,5
38,3.0,ily,Michael Jackson,0.5,0.0,0.5,0.0,0.0,255.0,356.5,3.5,1,1,23.0,139.5,0.09385000169277191,0.0,2
39,7.0,Lonely,The Weeknd,1.0,0.0,1.0,0.0,0.0,373.75,173.5,1.0,4,4,24.75,143.0,0.2800249960273504,2.25,4
40,2.0,Wonder,Fleetwood Mac,1.0,0.0,1.0,1.0,0.0,4983.5,4191.5,34.5,0,2,16.0,105.0,0.10114999860525131,0.0,2
