date,rank,twitter_extract_period,artist,song,rank_last_week,peak_rank,weeks_on_chart
10/24/20,10,,21 Savage & Metro Boomin Featuring Drake,Mr. Right Now,0,10,1
10/24/20,11,,Harry Styles,Watermelon Sugar,9,1,29
10/24/20,12,,Internet Money & Gunna Featuring Don Toliver & NAV,Lemonade,14,12,8
10/24/20,13,,Lewis Capaldi,Before You Go,11,9,36
10/24/20,14,,Justin Bieber Featuring Chance The Rapper,Holy,12,3,3
10/24/20,15,,Pop Smoke Featuring Lil Baby & DaBaby,For The Night,15,6,14
10/24/20,16,,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",Whats Poppin,13,2,35
10/24/20,17,,Chris Brown & Young Thug,Go Crazy,16,9,22
10/24/20,18,,Shawn Mendes,Wonder,0,18,1
10/24/20,19,,21 Savage & Metro Boomin,Glock In My Lap,0,19,1
10/24/20,20,,Lee Brice,One Of Them Girls,18,18,19
10/24/20,21,,Fleetwood Mac,Dreams,0,1,20
10/24/20,22,,Post Malone,Circles,17,1,58
10/24/20,23,,Jason Aldean,Got What I Got,19,19,19
10/24/20,24,,Juice WRLD x Marshmello,Come & Go,20,2,13
10/24/20,25,,Travis Scott Featuring Young Thug & M.I.A.,Franchise,1,1,2
10/24/20,26,,21 Savage & Metro Boomin Featuring Young Thug,Rich N*gga Sh*t,0,26,1
10/24/20,27,,Kane Brown With Swae Lee & Khalid,Be Like That,23,22,13
10/24/20,28,,Harry Styles,Adore You,24,6,44
10/24/20,29,,Dua Lipa,Break My Heart,25,13,28
10/24/20,30,,Megan Thee Stallion Featuring Young Thug,Don't Stop,0,30,1
10/24/20,31,,SAINt JHN,Roses,22,4,29
10/24/20,32,,21 Savage & Metro Boomin,Slidin,0,32,1
10/24/20,33,,21 Savage & Metro Boomin,Many Men,0,33,1
10/24/20,34,,DJ Khaled Featuring Drake,Popstar,21,3,12
10/24/20,35,,AJR,Bang!,32,32,14
10/24/20,36,,Pop Smoke Featuring Lil Tjay,Mood Swings,27,17,14
10/24/20,37,,Why Don't We,Fallin',0,37,1
10/24/20,38,,Morgan Wallen,More Than My Hometown,34,34,17
10/24/20,39,,Dua Lipa,Don't Start Now,33,2,49
10/24/20,40,,Luke Combs,Lovin' On You,26,23,15
10/24/20,41,,surf mesa Featuring Emilee,ily,35,35,20
10/24/20,42,,Pop Smoke Featuring 50 Cent & Roddy Ricch,The Woo,29,11,14
10/24/20,43,,JP Saxe Featuring Julia Michaels,If The World Was Ending,31,27,28
10/24/20,44,,Pop Smoke,What You Know Bout Love,40,40,5
10/24/20,45,,Jameson Rodgers,Some Girls,42,42,9
10/24/20,46,,Ava Max,Kings & Queens,37,37,9
10/24/20,47,,Saweetie,Tap In,30,20,13
10/24/20,48,,Bryson Tiller Featuring Drake,Outta Time,0,48,1
10/24/20,49,,Rod Wave Featuring ATR Son Son,Rags2Riches,38,12,15
10/24/20,50,,Machine Gun Kelly X blackbear,My Ex's Best Friend,28,28,8
10/24/20,51,,Moneybagg Yo,Said Sum,36,24,14
10/24/20,52,,HARDY Featuring Lauren Alaina & Devin Dawson,One Beer,52,52,18
10/24/20,53,,Tim McGraw,I Called Mama,62,53,10
10/24/20,54,,Dan + Shay,I Should Probably Go To Bed,43,42,10
10/24/20,55,,Miley Cyrus,Midnight Sky,39,14,8
10/24/20,56,,21 Savage & Metro Boomin,My Dawg,0,56,1
10/24/20,57,,21 Savage & Metro Boomin,Brand New Draco,0,57,1
10/24/20,58,,Blake Shelton Featuring Gwen Stefani,Happy Anywhere,56,56,11
10/24/20,59,,BLACKPINK,Lovesick Girls,0,59,1
10/24/20,60,,Money Man Featuring Lil Baby,24,54,54,8
10/24/20,61,,21 Savage & Metro Boomin Featuring Young Nudy,Snitches & Rats,0,61,1
10/24/20,62,,Juice WRLD,Wishing Well,51,5,13
10/24/20,63,,Parker McCollum,Pretty Heart,58,58,13
10/24/20,64,,BLACKPINK X Selena Gomez,Ice Cream,68,13,6
10/24/20,65,,Lady Gaga & Ariana Grande,Rain On Me,55,1,20
10/24/20,66,,Maluma & The Weeknd,Hawai,57,55,7
10/24/20,67,,Morgan Wallen,7 Summers,61,6,8
10/24/20,68,,Russell Dickerson,Love You Like I Used To,65,65,5
10/24/20,69,,Conan Gray,Heather,60,46,8
10/24/20,70,,Kane Brown,Cool Again,45,29,19
10/24/20,71,,21 Savage & Metro Boomin,No Opp Left Behind,0,71,1
10/24/20,72,,Tate McRae,You Broke Me First.,63,63,7
10/24/20,73,,Dua Lipa Featuring DaBaby,Levitating,0,73,1
10/24/20,74,,21 Savage & Metro Boomin,Steppin On N*ggas,0,74,1
10/24/20,75,,Jon Pardi,Ain't Always The Cowboy,66,66,6
10/24/20,76,,21 Savage & Metro Boomin,RIP Luv,0,76,1
10/24/20,77,,Taylor Swift,Cardigan,53,1,11
10/24/20,78,,Topic & A7S,Breaking Me,59,53,11
10/24/20,79,,Matt Stell,Everywhere But On,69,69,5
10/24/20,80,,Sam Smith,Diamonds,70,51,3
10/24/20,81,,Chris Stapleton,Starting Over,64,57,6
10/24/20,82,,Marshmello & Demi Lovato,OK Not To Be OK,73,36,4
10/24/20,83,,Bryson Tiller,Always Forever,0,83,1
10/24/20,84,,Bryson Tiller,Years Go By,0,84,1
10/24/20,85,,"J Balvin, Dua Lipa, Bad Bunny & Tainy",Un Dia (One Day),77,63,11
10/24/20,86,,Polo G,Martin & Gina,71,61,10
10/24/20,87,,SZA Featuring Ty Dolla $ign,Hit Different,75,29,5
10/24/20,88,,DJ Khaled Featuring Drake,Greece,67,8,12
10/24/20,89,,Lil Baby,The Bigger Picture,72,3,17
10/24/20,90,,Machine Gun Kelly,Bloody Valentine,50,50,2
10/24/20,91,,21 Savage & Metro Boomin,Said N Done,0,91,1
10/24/20,92,,"Sech, Daddy Yankee & J Balvin Featuring ROSALIA & Farruko",Relacion,76,64,5
10/24/20,93,,Polo G,Epidemic,47,47,2
10/24/20,94,,Chloe X Halle,Do It,80,63,8
10/24/20,95,,Megan Thee Stallion,Girls In The Hood,74,28,15
10/24/20,96,,Machine Gun Kelly & Halsey,Forget Me Too,44,44,2
10/24/20,97,,Jhene Aiko Featuring H.E.R.,B.S.,92,24,10
10/24/20,98,,YoungBoy Never Broke Again,Kacey Talk,79,50,8
10/24/20,99,,DaBaby Featuring Young Thug,Blind,85,85,3
10/24/20,100,,Ozuna x Karol G x Myke Towers,Caramelo,83,76,8
10/31/20,1,,24kGoldn Featuring iann dior,Mood,4,1,10
10/31/20,2,,Cardi B Featuring Megan Thee Stallion,WAP,3,1,10
10/31/20,3,,Drake Featuring Lil Durk,Laugh Now Cry Later,5,2,9
10/31/20,4,,The Weeknd,Blinding Lights,6,1,46
10/31/20,5,,BTS,Dynamite,2,1,8
10/31/20,6,,Jawsh 685 x Jason Derulo,Savage Love (Laxed - Siren Beat),1,1,18
10/31/20,7,,DaBaby Featuring Roddy Ricch,Rockstar,7,1,26
10/31/20,8,,Gabby Barrett Featuring Charlie Puth,I Hope,8,8,42
10/31/20,9,,Harry Styles,Watermelon Sugar,11,1,30
10/31/20,10,,Internet Money & Gunna Featuring Don Toliver & NAV,Lemonade,12,10,9
10/31/20,11,,Lewis Capaldi,Before You Go,13,9,37
10/31/20,12,,Fleetwood Mac,Dreams,21,1,21
10/31/20,13,,Pop Smoke Featuring Lil Baby & DaBaby,For The Night,15,6,15
10/31/20,14,,Justin Bieber Featuring Chance The Rapper,Holy,14,3,4
10/31/20,15,,Chris Brown & Young Thug,Go Crazy,17,9,23
10/31/20,16,,Jason Aldean,Got What I Got,23,16,20
10/31/20,17,,Lee Brice,One Of Them Girls,20,17,20
10/31/20,18,,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",Whats Poppin,16,2,36
10/31/20,19,,Post Malone,Circles,22,1,59
10/31/20,20,,Kane Brown With Swae Lee & Khalid,Be Like That,27,20,14
10/31/20,21,,Juice WRLD x Marshmello,Come & Go,24,2,14
10/31/20,22,,Shawn Mendes,Wonder,18,18,2
10/31/20,23,,Travis Scott Featuring Young Thug & M.I.A.,Franchise,25,1,3
10/31/20,24,,21 Savage & Metro Boomin Featuring Drake,Mr. Right Now,10,10,2
10/31/20,25,,Harry Styles,Adore You,28,6,45
10/31/20,26,,AJR,Bang!,35,26,15
10/31/20,27,,Dua Lipa,Break My Heart,29,13,29
10/31/20,28,,surf mesa Featuring Emilee,ily,41,28,21
10/31/20,29,,Pop Smoke,What You Know Bout Love,44,29,6
10/31/20,30,,Morgan Wallen,More Than My Hometown,38,30,18
10/31/20,31,,SAINt JHN,Roses,31,4,30
10/31/20,32,,Ava Max,Kings & Queens,46,32,10
10/31/20,33,,Moneybagg Yo,Said Sum,51,24,15
10/31/20,34,,Jameson Rodgers,Some Girls,45,34,10
10/31/20,35,,Dua Lipa,Don't Start Now,39,2,50
10/31/20,36,,21 Savage & Metro Boomin,Runnin,9,9,2
10/31/20,37,,Pop Smoke Featuring Lil Tjay,Mood Swings,36,17,15
10/31/20,38,,Pop Smoke Featuring 50 Cent & Roddy Ricch,The Woo,42,11,15
10/31/20,39,,Rod Wave Featuring ATR Son Son,Rags2Riches,49,12,16
10/31/20,40,,DJ Khaled Featuring Drake,Popstar,34,3,13
10/31/20,41,,HARDY Featuring Lauren Alaina & Devin Dawson,One Beer,52,41,19
10/31/20,42,,Luke Combs,Lovin' On You,40,23,16
10/31/20,43,,JP Saxe Featuring Julia Michaels,If The World Was Ending,43,27,29
10/31/20,44,,Dan + Shay,I Should Probably Go To Bed,54,42,11
10/31/20,45,,Blake Shelton Featuring Gwen Stefani,Happy Anywhere,58,45,12
10/31/20,46,,Saweetie,Tap In,47,20,14
10/31/20,47,,Parker McCollum,Pretty Heart,63,47,14
10/31/20,48,,Machine Gun Kelly X blackbear,My Ex's Best Friend,50,28,9
10/31/20,49,,Money Man Featuring Lil Baby,24,60,49,9
10/31/20,50,,Miley Cyrus,Midnight Sky,55,14,9
10/31/20,51,,Russell Dickerson,Love You Like I Used To,68,51,6
10/31/20,52,,Juice WRLD,Wishing Well,62,5,14
10/31/20,53,,Megan Thee Stallion Featuring Young Thug,Don't Stop,30,30,2
10/31/20,54,,Dua Lipa Featuring DaBaby,Levitating,73,54,2
10/31/20,55,,Maluma & The Weeknd,Hawai,66,55,8
10/31/20,56,,Morgan Wallen,7 Summers,67,6,9
10/31/20,57,,Tate McRae,You Broke Me First.,72,57,8
10/31/20,58,,Bebe Rexha Featuring Doja Cat,"Baby, I'm Jealous",0,58,1
10/31/20,59,,Sam Smith,Diamonds,80,51,4
10/31/20,60,,Conan Gray,Heather,69,46,9
10/31/20,61,,Jon Pardi,Ain't Always The Cowboy,75,61,7
10/31/20,62,,Matt Stell,Everywhere But On,79,62,6
10/31/20,63,,21 Savage & Metro Boomin,Glock In My Lap,19,19,2
10/31/20,64,,Chris Stapleton,Starting Over,81,57,7
10/31/20,65,,Kane Brown,Cool Again,70,29,20
10/31/20,66,,SZA Featuring Ty Dolla $ign,Hit Different,87,29,6
10/31/20,67,,Polo G,Martin & Gina,86,61,11
10/31/20,68,,Lil Baby,The Bigger Picture,89,3,18
10/31/20,69,,Luke Combs,Better Together,0,69,2
10/31/20,70,,Marshmello & Demi Lovato,OK Not To Be OK,82,36,5
10/31/20,71,,DJ Khaled Featuring Drake,Greece,88,8,13
10/31/20,72,,BLACKPINK X Selena Gomez,Ice Cream,64,13,7
10/31/20,73,,"J Balvin, Dua Lipa, Bad Bunny & Tainy",Un Dia (One Day),85,63,12
10/31/20,74,,21 Savage & Metro Boomin Featuring Young Thug,Rich N*gga Sh*t,26,26,2
10/31/20,75,,"Sech, Daddy Yankee & J Balvin Featuring ROSALIA & Farruko",Relacion,92,64,6
10/31/20,76,,Jhene Aiko Featuring H.E.R.,B.S.,97,24,11
10/31/20,77,,Chloe X Halle,Do It,94,63,9
10/31/20,78,,Chris Lane,"Big, Big Plans",0,78,2
10/31/20,79,,Topic & A7S,Breaking Me,78,53,12
10/31/20,80,,Ne-Yo & Jeremih,U 2 Luv,0,80,2
10/31/20,81,,Tim McGraw,I Called Mama,53,53,11
10/31/20,82,,YoungBoy Never Broke Again,Kacey Talk,98,50,9
10/31/20,83,,DaBaby Featuring Young Thug,Blind,99,83,4
10/31/20,84,,Niko Moon,Good Time,0,84,2
10/31/20,85,,Taylor Swift,Cardigan,77,1,12
10/31/20,86,,Machine Gun Kelly,Bloody Valentine,90,50,3
10/31/20,87,,Megan Thee Stallion,Girls In The Hood,95,28,16
10/31/20,88,,21 Savage & Metro Boomin,Slidin,32,32,2
10/31/20,89,,Juice WRLD & The Weeknd,Smile,0,8,9
10/31/20,90,,Ozuna x Karol G x Myke Towers,Caramelo,100,76,9
10/31/20,91,,Gunna Featuring Young Thug,Dollaz On My Head,0,38,18
10/31/20,92,,Polo G,Epidemic,93,47,3
10/31/20,93,,Ritt Momney,Put Your Records On,0,93,2
10/31/20,94,,21 Savage & Metro Boomin,Many Men,33,33,2
10/31/20,95,,Kelsea Ballerini,Hole In The Bottle,0,95,1
10/31/20,96,,Lil Durk Featuring Lil Baby & Polo G,3 Headed Goat,0,43,15
10/31/20,97,,Nio Garcia x Anuel AA x Myke Towers x Brray x Juanka,La Jeepeta,0,93,9
10/31/20,98,,Clairo,Sofia,0,98,1
10/31/20,99,,Keith Urban Duet With P!nk,One Too Many,0,62,3
10/31/20,100,,VEDO,You Got It,0,87,4
11/7/20,1,,24kGoldn Featuring iann dior,Mood,1,1,11
11/7/20,2,,Cardi B Featuring Megan Thee Stallion,WAP,2,1,11
11/7/20,3,,Drake Featuring Lil Durk,Laugh Now Cry Later,3,2,10
11/7/20,4,,The Weeknd,Blinding Lights,4,1,47
11/7/20,5,,Jawsh 685 x Jason Derulo,Savage Love (Laxed - Siren Beat),6,1,19
11/7/20,6,,Gabby Barrett Featuring Charlie Puth,I Hope,8,6,43
11/7/20,7,,BTS,Dynamite,5,1,9
11/7/20,8,,DaBaby Featuring Roddy Ricch,Rockstar,7,1,27
11/7/20,9,,Justin Bieber Featuring Chance The Rapper,Holy,14,3,5
11/7/20,10,,Internet Money & Gunna Featuring Don Toliver & NAV,Lemonade,10,10,10
11/7/20,11,,Harry Styles,Watermelon Sugar,9,1,31
11/7/20,12,,Lewis Capaldi,Before You Go,11,9,38
11/7/20,13,,Pop Smoke Featuring Lil Baby & DaBaby,For The Night,13,6,16
11/7/20,14,,Justin Bieber & benny blanco,Lonely,0,14,1
11/7/20,15,,Chris Brown & Young Thug,Go Crazy,15,9,24
11/7/20,16,,Jason Aldean,Got What I Got,16,16,21
11/7/20,17,,Lee Brice,One Of Them Girls,17,17,21
11/7/20,18,,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",Whats Poppin,18,2,37
11/7/20,19,,Post Malone,Circles,19,1,60
11/7/20,20,,Kane Brown With Swae Lee & Khalid,Be Like That,20,20,15
11/7/20,21,,Fleetwood Mac,Dreams,12,1,22
11/7/20,22,,Juice WRLD x Marshmello,Come & Go,21,2,15
11/7/20,23,,Moneybagg Yo,Said Sum,33,23,16
11/7/20,24,,Ava Max,Kings & Queens,32,24,11
11/7/20,25,,Pop Smoke,What You Know Bout Love,29,25,7
11/7/20,26,,AJR,Bang!,26,26,16
11/7/20,27,,surf mesa Featuring Emilee,ily,28,27,22
11/7/20,28,,Morgan Wallen,More Than My Hometown,30,28,19
11/7/20,29,,Jameson Rodgers,Some Girls,34,29,11
11/7/20,30,,Shawn Mendes,Wonder,22,18,3
11/7/20,31,,Harry Styles,Adore You,25,6,46
11/7/20,32,,Pop Smoke Featuring 50 Cent & Roddy Ricch,The Woo,38,11,16
11/7/20,33,,SAINt JHN,Roses,31,4,31
11/7/20,34,,Dua Lipa,Break My Heart,27,13,30
11/7/20,35,,Sada Baby Featuring Nicki Minaj,Whole Lotta Choppas,0,35,2
11/7/20,36,,Dua Lipa,Don't Start Now,35,2,51
11/7/20,37,,HARDY Featuring Lauren Alaina & Devin Dawson,One Beer,41,37,20
11/7/20,38,,Rod Wave Featuring ATR Son Son,Rags2Riches,39,12,17
11/7/20,39,,Travis Scott Featuring Young Thug & M.I.A.,Franchise,23,1,4
11/7/20,40,,Pop Smoke Featuring Lil Tjay,Mood Swings,37,17,16
11/7/20,41,,Russell Dickerson,Love You Like I Used To,51,41,7
11/7/20,42,,21 Savage & Metro Boomin Featuring Drake,Mr. Right Now,24,10,3
11/7/20,43,,Dan + Shay,I Should Probably Go To Bed,44,42,12
11/7/20,44,,Parker McCollum,Pretty Heart,47,44,15
11/7/20,45,,Luke Combs,Lovin' On You,42,23,17
11/7/20,46,,DJ Khaled Featuring Drake,Popstar,40,3,14
11/7/20,47,,Dua Lipa Featuring DaBaby,Levitating,54,47,3
11/7/20,48,,Miley Cyrus,Midnight Sky,50,14,10
11/7/20,49,,Blake Shelton Featuring Gwen Stefani,Happy Anywhere,45,45,13
11/7/20,50,,21 Savage & Metro Boomin,Runnin,36,9,3
11/7/20,51,,Money Man Featuring Lil Baby,24,49,49,10
11/7/20,52,,Yung Bleu Featuring Drake,You're Mines Still,0,52,1
11/7/20,53,,Saweetie,Tap In,46,20,15
11/7/20,54,,Machine Gun Kelly X blackbear,My Ex's Best Friend,48,28,10
11/7/20,55,,Juice WRLD,Wishing Well,52,5,15
11/7/20,56,,Matt Stell,Everywhere But On,62,56,7
11/7/20,57,,Luke Combs,Better Together,69,57,3
11/7/20,58,,Tate McRae,You Broke Me First.,57,57,9
11/7/20,59,,Maluma & The Weeknd,Hawai,55,55,9
11/7/20,60,,Sam Smith,Diamonds,59,51,5
11/7/20,61,,Morgan Wallen,7 Summers,56,6,10
11/7/20,62,,Jon Pardi,Ain't Always The Cowboy,61,61,8
11/7/20,63,,Megan Thee Stallion Featuring Young Thug,Don't Stop,53,30,3
11/7/20,64,,Conan Gray,Heather,60,46,10
11/7/20,65,,Chris Stapleton,Starting Over,64,57,8
11/7/20,66,,SZA Featuring Ty Dolla $ign,Hit Different,66,29,7
11/7/20,67,,Polo G,Martin & Gina,67,61,12
11/7/20,68,,Chris Lane,"Big, Big Plans",78,68,3
11/7/20,69,,Jhene Aiko Featuring H.E.R.,B.S.,76,24,12
11/7/20,70,,Ne-Yo & Jeremih,U 2 Luv,80,70,3
11/7/20,71,,G-Eazy Featuring blackbear,Hate The Way,0,71,1
11/7/20,72,,Lil Baby,The Bigger Picture,68,3,19
11/7/20,73,,"Sech, Daddy Yankee & J Balvin Featuring ROSALIA & Farruko",Relacion,75,64,7
11/7/20,74,,Niko Moon,Good Time,84,74,3
11/7/20,75,,Chloe X Halle,Do It,77,63,10
11/7/20,76,,DJ Khaled Featuring Drake,Greece,71,8,14
11/7/20,77,,YoungBoy Never Broke Again,Kacey Talk,82,50,10
11/7/20,78,,DaBaby Featuring Young Thug,Blind,83,78,5
11/7/20,79,,Ritt Momney,Put Your Records On,93,79,3
11/7/20,80,,Marshmello & Demi Lovato,OK Not To Be OK,70,36,6
11/7/20,81,,Larray,Canceled,0,81,1
11/7/20,82,,21 Savage & Metro Boomin,Glock In My Lap,63,19,3
11/7/20,83,,"J Balvin, Dua Lipa, Bad Bunny & Tainy",Un Dia (One Day),73,63,13
11/7/20,84,,BLACKPINK X Selena Gomez,Ice Cream,72,13,8
11/7/20,85,,Kenny Chesney,Happy Does,0,85,1
11/7/20,86,,Juice WRLD & The Weeknd,Smile,89,8,10
11/7/20,87,,Topic & A7S,Breaking Me,79,53,13
11/7/20,88,,Taylor Swift,Cardigan,85,1,13
11/7/20,89,,Megan Thee Stallion,Girls In The Hood,87,28,17
11/7/20,90,,Lil Durk Featuring Lil Baby & Polo G,3 Headed Goat,96,43,16
11/7/20,91,,Tim McGraw,I Called Mama,81,53,12
11/7/20,92,,Machine Gun Kelly,Bloody Valentine,86,50,4
11/7/20,93,,BRS Kash,Throat Baby (Go Baby),0,93,1
11/7/20,94,,Kelsea Ballerini,Hole In The Bottle,95,94,2
11/7/20,95,,Nio Garcia x Anuel AA x Myke Towers x Brray x Juanka,La Jeepeta,97,93,10
11/7/20,96,,Ozuna x Karol G x Myke Towers,Caramelo,90,76,10
11/7/20,97,,T.I. Featuring Lil Baby,Pardon,0,97,1
11/7/20,98,,Keith Urban Duet With P!nk,One Too Many,99,62,4
11/7/20,99,,Gunna Featuring Young Thug,Dollaz On My Head,91,38,19
11/7/20,100,,Lady A,Champagne Night,0,100,1
11/14/20,1,,Ariana Grande,Positions,0,1,1
11/14/20,2,,Luke Combs,Forever After All,0,2,1
11/14/20,3,,24kGoldn Featuring iann dior,Mood,1,1,12
11/14/20,4,,Drake Featuring Lil Durk,Laugh Now Cry Later,3,2,11
11/14/20,5,,The Weeknd,Blinding Lights,4,1,48
11/14/20,6,,Gabby Barrett Featuring Charlie Puth,I Hope,6,6,44
11/14/20,7,,Cardi B Featuring Megan Thee Stallion,WAP,2,1,12
11/14/20,8,,Jawsh 685 x Jason Derulo,Savage Love (Laxed - Siren Beat),5,1,20
11/14/20,9,,Internet Money & Gunna Featuring Don Toliver & NAV,Lemonade,10,9,11
11/14/20,10,,Justin Bieber Featuring Chance The Rapper,Holy,9,3,6
11/14/20,11,,DaBaby Featuring Roddy Ricch,Rockstar,8,1,28
11/14/20,12,,BTS,Dynamite,7,1,10
11/14/20,13,,Lewis Capaldi,Before You Go,12,9,39
11/14/20,14,,Pop Smoke Featuring Lil Baby & DaBaby,For The Night,13,6,17
11/14/20,15,,Harry Styles,Watermelon Sugar,11,1,32
11/14/20,16,,Chris Brown & Young Thug,Go Crazy,15,9,25
11/14/20,17,,Moneybagg Yo,Said Sum,23,17,17
11/14/20,18,,Post Malone,Circles,19,1,61
11/14/20,19,,Kane Brown With Swae Lee & Khalid,Be Like That,20,19,16
11/14/20,20,,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",Whats Poppin,18,2,38
11/14/20,21,,Jason Aldean,Got What I Got,16,16,22
11/14/20,22,,Ava Max,Kings & Queens,24,22,12
11/14/20,23,,Morgan Wallen,More Than My Hometown,28,23,20
11/14/20,24,,Juice WRLD x Marshmello,Come & Go,22,2,16
11/14/20,25,,surf mesa Featuring Emilee,ily,27,25,23
11/14/20,26,,Lee Brice,One Of Them Girls,17,17,22
11/14/20,27,,Justin Bieber & benny blanco,Lonely,14,14,2
11/14/20,28,,AJR,Bang!,26,26,17
11/14/20,29,,Pop Smoke,What You Know Bout Love,25,25,8
11/14/20,30,,Luke Combs,Better Together,57,30,4
11/14/20,31,,Harry Styles,Adore You,31,6,47
11/14/20,32,,Shawn Mendes,Wonder,30,18,4
11/14/20,33,,Fleetwood Mac,Dreams,21,1,23
11/14/20,34,,Jack Harlow,Tyler Herro,0,34,1
11/14/20,35,,Pop Smoke Featuring 50 Cent & Roddy Ricch,The Woo,32,11,17
11/14/20,36,,HARDY Featuring Lauren Alaina & Devin Dawson,One Beer,37,36,21
11/14/20,37,,Russell Dickerson,Love You Like I Used To,41,37,8
11/14/20,38,,Dua Lipa,Don't Start Now,36,2,52
11/14/20,39,,SAINt JHN,Roses,33,4,32
11/14/20,40,,Rod Wave Featuring ATR Son Son,Rags2Riches,38,12,18
11/14/20,41,,Luke Combs,Lovin' On You,45,23,18
11/14/20,42,,Dua Lipa Featuring DaBaby,Levitating,47,42,4
11/14/20,43,,Parker McCollum,Pretty Heart,44,43,16
11/14/20,44,,Dua Lipa,Break My Heart,34,13,31
11/14/20,45,,Jameson Rodgers,Some Girls,29,29,12
11/14/20,46,,Blake Shelton Featuring Gwen Stefani,Happy Anywhere,49,45,14
11/14/20,47,,Pop Smoke Featuring Lil Tjay,Mood Swings,40,17,17
11/14/20,48,,Matt Stell,Everywhere But On,56,48,8
11/14/20,49,,21 Savage & Metro Boomin Featuring Drake,Mr. Right Now,42,10,4
11/14/20,50,,Dan + Shay,I Should Probably Go To Bed,43,42,13
11/14/20,51,,Travis Scott Featuring Young Thug & M.I.A.,Franchise,39,1,5
11/14/20,52,,Money Man Featuring Lil Baby,24,51,49,11
11/14/20,53,,Ty Dolla $ign Featuring Post Malone,Spicy,0,53,1
11/14/20,54,,DJ Khaled Featuring Drake,Popstar,46,3,15
11/14/20,55,,Tate McRae,You Broke Me First.,58,55,10
11/14/20,56,,Miley Cyrus,Midnight Sky,48,14,11
11/14/20,57,,Machine Gun Kelly X blackbear,My Ex's Best Friend,54,28,11
11/14/20,58,,Sam Smith,Diamonds,60,51,6
11/14/20,59,,Saweetie,Tap In,53,20,16
11/14/20,60,,Morgan Wallen,7 Summers,61,6,11
11/14/20,61,,21 Savage & Metro Boomin,Runnin,50,9,4
11/14/20,62,,Juice WRLD,Wishing Well,55,5,16
11/14/20,63,,Chris Stapleton,Starting Over,65,57,9
11/14/20,64,,Maluma & The Weeknd,Hawai,59,55,10
11/14/20,65,,Jon Pardi,Ain't Always The Cowboy,62,61,9
11/14/20,66,,Ne-Yo & Jeremih,U 2 Luv,70,66,4
11/14/20,67,,Chris Lane,"Big, Big Plans",68,67,4
11/14/20,68,,SZA Featuring Ty Dolla $ign,Hit Different,66,29,8
11/14/20,69,,Luke Combs,The Other Guy,0,69,1
11/14/20,70,,H.E.R.,Damage,0,70,1
11/14/20,71,,Conan Gray,Heather,64,46,11
11/14/20,72,,Megan Thee Stallion Featuring Young Thug,Don't Stop,63,30,4
11/14/20,73,,Polo G,Martin & Gina,67,61,13
11/14/20,74,,Harry Styles,Golden,0,74,2
11/14/20,75,,Jhene Aiko Featuring H.E.R.,B.S.,69,24,13
11/14/20,76,,Saweetie Featuring Jhene Aiko,Back To The Streets,0,76,1
11/14/20,77,,The Kid LAROI,So Done,0,77,1
11/14/20,78,,Luke Combs Featuring Amanda Shires,Without You,0,70,2
11/14/20,79,,"Sech, Daddy Yankee & J Balvin Featuring ROSALIA & Farruko",Relacion,73,64,8
11/14/20,80,,Ritt Momney,Put Your Records On,79,79,4
11/14/20,81,,Niko Moon,Good Time,74,74,4
11/14/20,82,,Lil Baby,The Bigger Picture,72,3,20
11/14/20,83,,DaBaby Featuring Young Thug,Blind,78,78,6
11/14/20,84,,Luke Combs,Cold As You,0,84,1
11/14/20,85,,YoungBoy Never Broke Again,Kacey Talk,77,50,11
11/14/20,86,,DaBaby,Practice,0,86,1
11/14/20,87,,Kelsea Ballerini,Hole In The Bottle,94,87,3
11/14/20,88,,Sada Baby Featuring Nicki Minaj,Whole Lotta Choppas,35,35,3
11/14/20,89,,Yung Bleu Featuring Drake,You're Mines Still,52,52,2
11/14/20,90,,Lady A,Champagne Night,100,90,2
11/14/20,91,,DJ Khaled Featuring Drake,Greece,76,8,15
11/14/20,92,,Kenny Chesney,Happy Does,85,85,2
11/14/20,93,,BRS Kash,Throat Baby (Go Baby),93,93,2
11/14/20,94,,"J Balvin, Dua Lipa, Bad Bunny & Tainy",Un Dia (One Day),83,63,14
11/14/20,95,,Chloe X Halle,Do It,75,63,11
11/14/20,96,,Taylor Swift,Cardigan,88,1,14
11/14/20,97,,Machine Gun Kelly & Halsey,Forget Me Too,0,44,3
11/14/20,98,,Farruko,La Toxica,0,98,1
11/14/20,99,,Joel Corry X MNEK,Head & Heart,0,99,1
11/14/20,100,,Little Big Town,"Wine, Beer, Whiskey",0,100,1
11/21/20,1,,24kGoldn Featuring iann dior,Mood,3,1,13
11/21/20,2,,Ariana Grande,Positions,1,1,2
11/21/20,3,,Drake Featuring Lil Durk,Laugh Now Cry Later,4,2,12
11/21/20,4,,The Weeknd,Blinding Lights,5,1,49
11/21/20,5,,Gabby Barrett Featuring Charlie Puth,I Hope,6,5,45
11/21/20,6,,Jawsh 685 x Jason Derulo,Savage Love (Laxed - Siren Beat),8,1,21
11/21/20,7,,Internet Money & Gunna Featuring Don Toliver & NAV,Lemonade,9,7,12
11/21/20,8,,Ariana Grande,34+35,0,8,1
