,week,url_avg,et_url_avg,display_url_avg,hashtag_avg,et_hashtag_avg,avg_followers,avg_friends,avg_listed,sum_trunc,sum_http,avg_tokens,avg_char,avg_senti,avg_emoji_count,song_id,artist_id
0,0,0.0,0.0,0.0,0.0,0.0,2146.0,2221.0,1.0,0.0,0.0,26.0,138.0,0.0,0.0,0,0
3,0,0.372093023255814,0.04651162790697674,0.372093023255814,0.18604651162790695,0.372093023255814,1062.8837209302326,932.953488372093,13.953488372093025,9.0,23.0,21.25581395348837,118.09302325581396,0.2902651153678118,0.2558139534883721,1,1
5,0,0.0,0.0,0.0,0.0,0.0,290.0,264.5,2.0,0.0,0.0,19.0,93.0,0.4698500074446201,0.5,2,2
6,0,0.0328125,0.009375,0.0328125,0.021875,0.0140625,613.665625,615.884375,6.125,13.0,27.0,19.7640625,111.484375,0.3622384410933591,0.0921875,3,3
7,0,1.0,0.5,1.0,0.16666666666666666,0.3333333333333333,21621.166666666668,4436.333333333333,160.16666666666666,2.0,5.0,17.833333333333332,112.33333333333331,0.22591666442652544,0.5,4,4
11,0,0.8461538461538461,0.0,0.8461538461538461,1.6153846153846154,0.0,4286.153846153846,3825.0769230769233,37.769230769230774,0.0,12.0,16.384615384615387,107.92307692307692,0.2787923033420856,1.0769230769230769,5,5
12,0,0.5714285714285714,0.0,0.5714285714285714,0.5714285714285714,0.0,300.57142857142856,219.42857142857144,1.8571428571428568,2.0,7.0,22.285714285714285,128.42857142857142,0.3566571442144258,0.0,6,6
13,0,0.4065040650406504,0.2926829268292683,0.4065040650406504,0.16260162601626016,0.08943089430894309,17720.609756097558,4351.073170731707,73.29268292682926,10.0,57.0,19.601626016260163,115.95121951219512,0.2774845532982088,0.05691056910569105,7,7
14,0,0.34375,0.0,0.34375,0.40625,0.0,1409.34375,755.8125,18.5,2.0,11.0,22.0,123.1875,0.3896812442690134,0.46875,8,3
15,0,0.21428571428571427,0.07142857142857142,0.21428571428571427,0.0,0.0,6400.214285714284,1537.428571428571,26.785714285714285,2.0,12.0,24.0,126.28571428571428,0.21626428408282145,0.0,9,8
